country,arrivals
ABW,2
AFG,2750
AGO,169
AIA,4
ALB,1549
AND,194
ANT,2
ARE,15461
ARG,16051
ARM,2158
ATA,6
ATG,578
AUS,889069
AUT,33865
AZE,3931
BDI,157
BEL,47579
BEN,319
BFA,209
BGD,1165402
BGR,9556
BHR,5914
BHS,240
BIH,2041
BLR,11138
BLZ,277
BMU,4
BOL,1050
BRA,35881
BRB,231
BRN,2588744
BTN,1730
BVT,1
BWA,518
CAF,13
CAN,192117
CCK,3
CHE,60473
CHL,8897
CHN,4008013
CIV,685
CMR,844
COD,430
COG,96
COK,1
COL,6282
COM,547
CPV,84
CRI,2269
CUB,856
CYP,2345
CZE,25563
DEU,339408
DJI,438
DMA,1366
DNK,47641
DOM,712
DZA,22332
ECU,2318
EGY,61353
ERI,538
ESP,105701
EST,8255
ETH,1201
FIN,28014
FJI,5371
FRA,335976
FSM,29
GAB,287
GBR,780219
GEO,1936
GHA,2582
GIB,2
GIN,1748
GLP,1
GMB,844
GNB,26
GNQ,62
GRC,9507
GRD,525
GRL,4
GTM,827
GUY,197
HKG,27640
HMD,1
HND,615
HRV,7211
HTI,240
HUN,21586
IDN,8477856
IND,2345086
IOT,10
IRL,51700
IRN,61065
IRQ,34226
ISL,1437
ISR,16
ITA,123871
JAM,717
JOR,24557
JPN,739722
KAZ,39276
KEN,13558
KGZ,8974
KHM,210154
KIR,116
KNA,2330
KOR,1057434
KWT,22762
LAO,55101
LBN,8141
LBR,288
LBY,11524
LCA,478
LIE,241
LKA,138706
LSO,174
LTU,14268
LUX,1870
LVA,6777
MAC,132
MAR,28552
MCO,103
MDA,1083
MDG,2161
MDV,80329
MEX,22342
MHL,111
MKD,1332
MLI,331
MLT,1829
MMR,360931
MNE,564
MNG,16414
MNP,3
MOZ,956
MRT,744
MUS,41679
MWI,662
MYT,2
NAM,616
NCL,2
NER,90
NGA,15552
NIC,243
NLD,174610
NOR,30007
NPL,449691
NRU,102
NZL,113255
OMN,39478
PAK,355369
PAN,947
PER,4860
PHL,1147669
PLW,57
PNG,2519
POL,61737
PRI,1
PRK,9
PRT,27939
PRY,463
PSE,10249
QAT,5388
REU,2
ROU,25980
RUS,281242
RWA,297
SAU,151906
SDN,30589
SEN,1799
SGP,34496707
SGS,7
SHN,2
SLB,459
SLE,739
SLV,519
SMR,81
SOM,7257
SPM,1
SRB,2946
SSD,972
STP,48
SUR,616
SVK,14033
SVN,5490
SWE,53494
SWZ,567
SYC,2595
SYR,20529
TCA,3
TCD,770
TGO,262
THA,5647418
TJK,3545
TKL,2
TKM,5375
TLS,6745
TON,424
TTO,1158
TUN,18392
TUR,50414
TUV,14
TWN,639102
TZA,5973
UGA,4255
UKR,36714
URY,2769
USA,607643
UZB,36853
VAT,34
VCT,75
VEN,2871
VNM,878361
VUT,2970
WSM,113
XXX,14334
YEM,43725
ZAF,45266
ZAR,23
ZMB,2169
ZWE,4687
